image_id,dx
0053d7cd-549c-48cd-b370-b4ad64a8098a.jpg,dyed-lifted-polyps
007d5aa7-7289-4bad-aa4a-5c3a259e9b19.jpg,dyed-lifted-polyps
00cf9508-6ad1-4db9-840a-519c1d515c30.jpg,dyed-lifted-polyps
01507fbd-4d38-4525-9768-7754710f507c.jpg,dyed-lifted-polyps
018ed8ed-e489-4bbb-8a99-3346db9ec160.jpg,dyed-lifted-polyps
0195c5a6-5ddf-471c-9868-2ea66b81f440.jpg,dyed-lifted-polyps
01d38b8f-74b2-4147-9519-448d05bf8745.jpg,dyed-lifted-polyps
02c10865-9d23-4f6b-aa5d-f73b63b6d67f.jpg,dyed-lifted-polyps
031a6e89-d3b7-48c8-8e2f-db991030f959.jpg,dyed-lifted-polyps
03a49a2e-c8d4-4dcd-b5e7-3d1722ed5db3.jpg,dyed-lifted-polyps
041daea7-c9cd-43f9-ae77-b8ecb694a6a2.jpg,dyed-lifted-polyps
04293e0c-1593-45d7-887f-3b6e413d97d4.jpg,dyed-lifted-polyps
04391f36-f787-4acf-9312-ccc0e6e52f39.jpg,dyed-lifted-polyps
04677c9d-9cdb-45f1-8ddd-c76a2bcf3963.jpg,dyed-lifted-polyps
047981d3-e279-4910-bd1a-b6d3f1e2088b.jpg,dyed-lifted-polyps
051b0c4e-f7ad-417b-8f4f-2e76c2d6d6e7.jpg,dyed-lifted-polyps
05cec76d-281a-4901-b2e7-de98c0207088.jpg,dyed-lifted-polyps
0626da74-5a42-4f55-9557-b2141dc79759.jpg,dyed-lifted-polyps
06976210-ea7b-4b39-8719-872997278dd6.jpg,dyed-lifted-polyps
0714e5ee-8308-43b2-8092-cc2c7b3378fd.jpg,dyed-lifted-polyps
07270b1b-84de-40d2-bbff-698bf3b91512.jpg,dyed-lifted-polyps
07b354f4-412e-4fb3-95aa-75b7409ce334.jpg,dyed-lifted-polyps
07b4807f-5d4c-4e08-8629-6095f5b86df1.jpg,dyed-lifted-polyps
07bba164-2e5b-43ce-80fa-f6b7ce3a90bf.jpg,dyed-lifted-polyps
08509852-29f4-452c-a4a6-e310edaa852d.jpg,dyed-lifted-polyps
